location_id,sku_id,on_hand_qty,safety_stock,reorder_point,unit_cost,last_updated
BR002,SKU0036,52,22,26,10.95,2025-09-15
BR002,SKU0037,54,29,38,12.04,2025-11-06
BR002,SKU0038,55,24,46,1.16,2025-10-10
BR002,SKU0039,62,12,35,10.59,2025-10-04
BR002,SKU0040,62,29,37,9.82,2025-09-09
BR002,SKU0041,55,19,42,5.55,2025-12-07
BR002,SKU0042,62,16,26,13.53,2025-11-24
BR002,SKU0043,77,16,42,9.56,2025-11-04
BR002,SKU0044,52,25,57,14.36,2025-12-16
BR002,SKU0045,64,26,49,10.82,2025-09-12
BR002,SKU0046,68,28,23,7.54,2025-09-16
BR002,SKU0047,70,22,66,1.4,2025-09-18
BR002,SKU0048,53,26,57,7.59,2025-12-26
BR002,SKU0049,54,15,56,7.0,2025-10-30
BR002,SKU0050,58,23,38,10.39,2025-12-24
BR002,SKU0051,62,15,45,3.34,2025-12-07
BR002,SKU0052,50,28,52,2.74,2025-11-24
BR002,SKU0053,58,27,40,6.36,2025-11-09
BR002,SKU0054,64,20,55,2.52,2025-11-29
BR002,SKU0055,65,12,42,9.5,2025-12-16
BR002,SKU0056,57,27,69,14.2,2025-12-24
BR002,SKU0057,61,13,50,5.02,2025-09-27
BR002,SKU0058,57,18,40,13.86,2025-12-11
BR002,SKU0059,70,25,29,6.56,2025-10-02
BR002,SKU0060,53,18,39,6.06,2025-11-06
BR002,SKU0061,59,21,26,13.17,2025-11-09
BR002,SKU0062,54,22,42,9.76,2025-10-19
BR002,SKU0063,73,12,54,9.12,2025-12-06
BR002,SKU0064,53,10,41,9.31,2025-12-20
BR002,SKU0065,54,21,65,14.94,2025-11-04
BR002,SKU0066,55,12,40,3.09,2025-10-25
BR002,SKU0067,60,19,67,10.86,2025-09-20
BR002,SKU0068,48,21,33,9.16,2025-10-17
BR002,SKU0069,53,13,50,11.11,2025-12-25
BR002,SKU0070,51,28,29,10.15,2025-12-22
BR002,SKU0071,66,27,54,11.83,2025-11-08
BR002,SKU0072,77,15,49,9.62,2025-11-21
BR002,SKU0073,59,20,29,8.22,2025-12-28
BR002,SKU0074,55,13,42,14.66,2025-09-11
BR002,SKU0075,60,13,50,12.42,2025-09-04
BR002,SKU0076,57,25,49,2.37,2025-10-20
BR002,SKU0077,57,25,51,1.36,2025-10-07
BR002,SKU0078,61,14,66,12.25,2025-09-02
BR002,SKU0079,57,10,21,13.5,2025-10-24
BR002,SKU0080,65,24,36,4.72,2025-09-11
BR003,SKU0001,57,16,42,12.23,2025-10-12
BR003,SKU0002,61,16,21,6.34,2025-09-19
BR003,SKU0003,55,20,55,1.28,2025-10-26
BR003,SKU0004,56,28,31,1.28,2025-11-30
BR003,SKU0005,62,24,60,13.88,2025-10-01
BR003,SKU0006,58,25,35,6.95,2025-09-27
BR003,SKU0007,58,11,42,7.58,2025-10-16
BR003,SKU0008,58,15,34,7.75,2025-10-16
BR003,SKU0009,57,10,52,1.38,2025-09-21
BR003,SKU0010,66,22,61,6.74,2025-12-16
BR003,SKU0011,61,16,33,8.5,2025-10-24
BR003,SKU0012,61,11,28,9.86,2025-12-10
BR003,SKU0013,56,17,48,2.54,2025-12-26
BR003,SKU0014,63,18,21,11.76,2025-12-16
BR003,SKU0015,83,26,25,6.79,2025-10-29
BR003,SKU0016,61,21,53,3.64,2025-10-08
BR003,SKU0017,72,20,32,8.21,2025-09-03
BR003,SKU0018,66,16,40,14.81,2025-10-29
BR003,SKU0019,52,14,24,9.06,2025-12-29
BR003,SKU0020,65,10,69,5.94,2025-09-15
BR003,SKU0021,66,10,27,3.02,2025-09-03
BR003,SKU0022,77,15,34,5.73,2025-12-21
BR003,SKU0023,50,25,31,1.34,2025-12-16
BR003,SKU0024,68,16,62,14.26,2025-11-25
BR003,SKU0025,60,25,31,9.12,2025-12-28
BR003,SKU0026,58,18,35,13.29,2025-09-09
BR003,SKU0027,51,21,56,6.79,2025-10-05
BR003,SKU0028,54,14,29,4.2,2025-09-26
BR003,SKU0029,68,18,20,14.76,2025-11-24
BR003,SKU0030,46,16,28,9.13,2025-10-17
BR003,SKU0031,64,12,21,1.51,2025-09-07
BR003,SKU0032,67,25,67,3.22,2025-10-09
BR003,SKU0033,55,13,31,14.28,2025-11-29
BR003,SKU0034,52,21,54,3.04,2025-10-18
BR003,SKU0035,61,12,55,4.57,2025-11-01
BR003,SKU0036,60,27,39,13.5,2025-12-03
BR003,SKU0037,72,10,45,11.63,2025-10-29
BR003,SKU0038,59,10,29,11.4,2025-09-05
BR003,SKU0039,63,10,48,14.0,2025-09-14
BR003,SKU0040,61,23,40,14.97,2025-12-07
BR003,SKU0041,62,23,45,10.33,2025-12-08
BR003,SKU0042,59,15,56,14.84,2025-09-30
BR003,SKU0043,54,20,33,8.34,2025-10-04
BR003,SKU0044,62,10,46,7.6,2025-10-16
BR003,SKU0045,59,19,49,13.72,2025-10-14
BR003,SKU0046,54,17,35,3.25,2025-10-07
BR003,SKU0047,67,18,55,12.0,2025-12-16
BR003,SKU0048,71,10,57,14.18,2025-11-24
BR003,SKU0049,71,13,45,1.92,2025-12-27
BR003,SKU0050,43,12,61,9.88,2025-11-21
BR003,SKU0051,63,17,68,12.5,2025-09-05
BR003,SKU0052,56,20,38,14.24,2025-10-25
BR003,SKU0053,71,29,46,2.78,2025-12-07
BR003,SKU0054,56,25,51,2.18,2025-09-04
BR003,SKU0055,45,15,30,1.49,2025-11-23
BR003,SKU0056,75,16,59,9.14,2025-10-30
BR003,SKU0057,53,14,55,4.26,2025-10-02
BR003,SKU0058,52,19,33,14.1,2025-11-22
BR003,SKU0059,61,10,35,9.3,2025-11-16
BR003,SKU0060,67,15,29,6.93,2025-11-23
BR003,SKU0061,69,22,47,1.08,2025-11-22
BR003,SKU0062,59,26,48,14.44,2025-11-22
BR003,SKU0063,51,19,62,3.75,2025-12-08
BR003,SKU0064,75,27,28,10.11,2025-12-15
BR003,SKU0065,58,14,30,7.1,2025-11-02
BR003,SKU0066,65,18,60,14.83,2025-11-02
BR003,SKU0067,51,10,32,9.17,2025-12-21
BR003,SKU0068,62,11,28,2.52,2025-12-17
BR003,SKU0069,65,15,58,4.58,2025-11-16
BR003,SKU0070,55,17,57,4.24,2025-12-28
BR003,SKU0071,67,22,52,9.81,2025-11-14
BR003,SKU0072,48,19,34,3.63,2025-10-14
BR003,SKU0073,52,27,44,14.46,2025-11-06
BR003,SKU0074,69,22,35,9.63,2025-10-11
BR003,SKU0075,59,16,25,6.92,2025-09-27
BR003,SKU0076,69,19,45,5.28,2025-11-19
BR003,SKU0077,61,16,49,2.6,2025-12-18
BR003,SKU0078,69,14,42,6.69,2025-12-01
BR003,SKU0079,50,20,53,13.08,2025-10-05
BR003,SKU0080,65,23,67,4.34,2025-12-29
BR004,SKU0001,48,25,61,9.28,2025-11-30
BR004,SKU0002,67,13,31,5.63,2025-10-05
BR004,SKU0003,69,28,23,5.06,2025-10-03
BR004,SKU0004,58,25,69,5.47,2025-12-01
BR004,SKU0005,57,21,20,9.0,2025-11-10
BR004,SKU0006,49,28,28,10.16,2025-09-27
BR004,SKU0007,60,11,20,2.36,2025-11-07
BR004,SKU0008,55,10,22,13.15,2025-10-21
BR004,SKU0009,70,10,32,6.0,2025-09-30
BR004,SKU0010,58,14,55,1.55,2025-09-03
BR004,SKU0011,64,22,62,8.74,2025-10-11
BR004,SKU0012,50,23,35,14.82,2025-11-29
BR004,SKU0013,43,13,46,4.1,2025-09-28
BR004,SKU0014,52,26,48,14.59,2025-10-02
BR004,SKU0015,52,26,46,13.94,2025-11-07
BR004,SKU0016,78,12,42,14.95,2025-10-25
BR004,SKU0017,67,15,63,3.92,2025-09-23
BR004,SKU0018,64,21,29,13.95,2025-10-09
BR004,SKU0019,51,29,30,3.37,2025-12-14
BR004,SKU0020,55,12,44,10.91,2025-11-22
BR004,SKU0021,74,25,68,8.98,2025-11-05
BR004,SKU0022,51,16,66,2.45,2025-10-12
BR004,SKU0023,57,28,37,10.32,2025-09-01
BR004,SKU0024,71,14,49,3.37,2025-12-28
BR004,SKU0025,51,10,57,4.81,2025-11-03
BR004,SKU0026,67,27,45,1.43,2025-10-17
BR004,SKU0027,65,27,36,1.04,2025-11-20
BR004,SKU0028,57,10,44,10.06,2025-09-27
BR004,SKU0029,62,29,21,9.62,2025-09-24
BR004,SKU0030,54,21,65,14.13,2025-10-12
BR004,SKU0031,51,16,32,2.71,2025-10-02
BR004,SKU0032,56,20,67,6.13,2025-11-10
BR004,SKU0033,51,23,48,3.93,2025-09-22
BR004,SKU0034,62,15,22,8.81,2025-09-14
BR004,SKU0035,53,10,37,7.6,2025-09-21
BR004,SKU0036,58,19,21,11.4,2025-12-17
BR004,SKU0037,55,15,36,11.52,2025-12-05
BR004,SKU0038,72,23,31,2.19,2025-10-28
BR004,SKU0039,59,13,27,10.34,2025-12-01
BR004,SKU0040,61,12,59,11.73,2025-09-19
BR004,SKU0041,68,21,61,4.0,2025-10-14
BR004,SKU0042,65,11,38,11.41,2025-11-26
BR004,SKU0043,54,26,38,13.49,2025-11-08
BR004,SKU0044,63,16,23,7.72,2025-09-14
BR004,SKU0045,65,22,51,5.76,2025-09-08
BR004,SKU0046,62,10,36,1.27,2025-09-10
BR004,SKU0047,59,14,59,12.57,2025-12-08
BR004,SKU0048,58,22,34,8.53,2025-09-05
BR004,SKU0049,45,11,56,11.94,2025-09-18
BR004,SKU0050,58,23,44,9.42,2025-12-21
BR004,SKU0051,43,11,55,4.18,2025-09-15
BR004,SKU0052,58,17,58,12.8,2025-09-03
BR004,SKU0053,57,12,55,5.59,2025-10-19
BR004,SKU0054,73,23,24,7.49,2025-10-31
BR004,SKU0055,53,19,48,8.33,2025-09-04
BR004,SKU0056,36,28,40,12.93,2025-12-27
BR004,SKU0057,63,14,37,9.68,2025-11-23
BR004,SKU0058,59,15,60,1.06,2025-10-03
BR004,SKU0059,61,23,55,2.25,2025-09-05
BR004,SKU0060,51,25,52,5.19,2025-11-11
BR004,SKU0061,64,20,43,12.42,2025-12-08
BR004,SKU0062,62,28,55,10.8,2025-11-25
BR004,SKU0063,63,10,40,7.96,2025-10-19
BR004,SKU0064,67,13,69,9.61,2025-09-16
BR004,SKU0065,47,27,37,2.94,2025-12-19
BR004,SKU0066,57,12,57,3.94,2025-12-24
BR004,SKU0067,60,28,23,12.81,2025-10-20
BR004,SKU0068,57,10,21,6.36,2025-11-26
BR004,SKU0069,46,10,31,1.42,2025-12-26
BR004,SKU0070,57,16,20,11.79,2025-11-16
BR004,SKU0071,65,18,28,14.8,2025-11-02
BR004,SKU0072,52,19,60,11.72,2025-10-07
BR004,SKU0073,62,16,37,3.05,2025-09-13
BR004,SKU0074,65,22,40,7.52,2025-11-04
BR004,SKU0075,57,24,27,4.87,2025-11-29
BR004,SKU0076,60,11,62,5.38,2025-12-20
BR004,SKU0077,65,17,48,4.92,2025-09-05
BR004,SKU0078,50,12,29,9.96,2025-09-09
BR004,SKU0079,59,22,34,4.55,2025-11-16
BR004,SKU0080,64,18,34,4.62,2025-09-02
BR005,SKU0001,57,21,42,3.16,2025-12-28
BR005,SKU0002,67,28,27,5.56,2025-09-27
BR005,SKU0003,75,15,56,5.49,2025-09-18
BR005,SKU0004,58,18,51,5.52,2025-11-29
BR005,SKU0005,61,28,61,7.08,2025-12-08
BR005,SKU0006,54,14,57,8.0,2025-12-17
BR005,SKU0007,58,10,51,3.16,2025-10-30
BR005,SKU0008,58,20,49,12.14,2025-12-15
BR005,SKU0009,60,29,38,11.82,2025-10-03
BR005,SKU0010,61,24,32,4.42,2025-10-08
BR005,SKU0011,51,11,63,10.19,2025-12-15
BR005,SKU0012,56,10,51,6.73,2025-12-04
BR005,SKU0013,66,16,50,9.32,2025-10-03
BR005,SKU0014,51,17,30,13.86,2025-10-13
BR005,SKU0015,66,27,62,6.98,2025-09-09
BR005,SKU0016,57,13,33,2.02,2025-11-14
BR005,SKU0017,68,19,55,9.01,2025-11-10
BR005,SKU0018,51,25,22,11.05,2025-09-10
BR005,SKU0019,58,23,40,9.38,2025-10-16
BR005,SKU0020,65,28,31,7.92,2025-10-14
BR005,SKU0021,53,16,69,4.91,2025-09-14
BR005,SKU0022,59,28,52,2.83,2025-10-16
BR005,SKU0023,57,20,53,6.52,2025-11-12
BR005,SKU0024,55,19,34,5.44,2025-09-14
BR005,SKU0025,60,24,32,3.5,2025-11-27
BR005,SKU0026,62,17,50,8.9,2025-10-10
BR005,SKU0027,70,14,61,8.31,2025-10-03
BR005,SKU0028,52,16,56,13.1,2025-09-30
BR005,SKU0029,52,28,51,13.33,2025-12-29
BR005,SKU0030,69,28,23,14.68,2025-10-02
BR005,SKU0031,58,20,41,7.65,2025-11-29
BR005,SKU0032,58,21,51,2.56,2025-12-25
BR005,SKU0033,59,24,57,9.27,2025-10-26
BR005,SKU0034,58,10,21,5.74,2025-12-26
BR005,SKU0035,69,13,66,7.84,2025-09-23
BR005,SKU0036,61,13,21,4.31,2025-09-24
BR005,SKU0037,70,11,47,5.64,2025-10-15
BR005,SKU0038,52,20,41,2.61,2025-11-02
BR005,SKU0039,68,19,32,5.88,2025-10-09
BR005,SKU0040,50,24,56,1.95,2025-12-04
BR005,SKU0041,69,21,61,10.19,2025-09-28
BR005,SKU0042,63,19,56,5.38,2025-09-15
BR005,SKU0043,62,17,48,6.24,2025-12-07
BR005,SKU0044,56,13,36,13.68,2025-09-11
BR005,SKU0045,70,25,55,9.05,2025-12-08
BR005,SKU0046,66,21,61,8.16,2025-12-27
BR005,SKU0047,63,20,62,12.34,2025-09-10
BR005,SKU0048,64,20,22,3.06,2025-10-01
BR005,SKU0049,61,27,50,4.75,2025-11-14
BR005,SKU0050,56,12,38,8.52,2025-12-03
BR005,SKU0051,51,15,26,2.63,2025-12-19
BR005,SKU0052,59,16,58,9.6,2025-09-06
BR005,SKU0053,51,23,60,8.79,2025-10-25
BR005,SKU0054,59,25,64,13.96,2025-10-14
BR005,SKU0055,55,21,34,10.44,2025-09-22
BR005,SKU0056,70,11,41,14.45,2025-10-14
BR005,SKU0057,56,14,47,9.73,2025-12-04
BR005,SKU0058,57,14,61,9.56,2025-12-28
BR005,SKU0059,67,16,50,5.62,2025-09-01
BR005,SKU0060,59,19,20,3.06,2025-12-10
BR005,SKU0061,62,15,49,9.94,2025-09-10
BR005,SKU0062,64,27,38,3.06,2025-10-08
BR005,SKU0063,57,18,47,13.66,2025-10-31
BR005,SKU0064,58,22,66,2.55,2025-10-28
BR005,SKU0065,44,19,46,8.83,2025-10-15
BR005,SKU0066,55,24,26,12.85,2025-12-15
BR005,SKU0067,66,21,46,9.58,2025-11-09
BR005,SKU0068,71,25,48,13.33,2025-10-19
BR005,SKU0069,67,28,57,10.05,2025-12-02
BR005,SKU0070,44,16,48,6.43,2025-10-17
BR005,SKU0071,76,23,49,9.11,2025-09-03
BR005,SKU0072,75,16,26,9.12,2025-09-22
BR005,SKU0073,57,12,43,8.89,2025-10-12
BR005,SKU0074,56,13,62,6.04,2025-11-08
BR005,SKU0075,55,13,31,11.38,2025-09-01
BR005,SKU0076,63,19,30,12.69,2025-09-13
BR005,SKU0077,48,17,42,9.55,2025-11-08
BR005,SKU0078,53,11,30,7.99,2025-09-29
BR005,SKU0079,58,29,49,14.6,2025-12-18
BR005,SKU0080,58,12,47,13.97,2025-10-14
BR006,SKU0001,57,27,68,8.27,2025-10-27
BR006,SKU0002,65,26,65,7.7,2025-11-23
BR006,SKU0003,58,13,69,12.56,2025-09-16
BR006,SKU0004,53,24,43,3.88,2025-10-09
BR006,SKU0005,62,29,61,5.88,2025-09-22
BR006,SKU0006,57,19,44,2.24,2025-12-04
BR006,SKU0007,70,23,69,9.85,2025-12-28
BR006,SKU0008,66,17,34,7.51,2025-11-07
BR006,SKU0009,59,17,33,2.55,2025-10-07
BR006,SKU0010,73,14,43,1.85,2025-12-27
BR006,SKU0011,49,22,65,14.52,2025-09-25
BR006,SKU0012,53,22,56,4.78,2025-11-30
BR006,SKU0013,65,21,46,13.6,2025-10-10
BR006,SKU0014,65,20,61,14.64,2025-12-03
BR006,SKU0015,59,19,63,5.56,2025-12-06
BR006,SKU0016,66,12,46,7.44,2025-11-04
BR006,SKU0017,55,27,52,2.62,2025-11-25
BR006,SKU0018,61,12,39,6.09,2025-10-27
BR006,SKU0019,55,23,33,4.82,2025-11-10
BR006,SKU0020,59,27,49,13.39,2025-10-15
BR006,SKU0021,54,15,37,12.0,2025-09-26
BR006,SKU0022,59,13,20,8.25,2025-10-28
BR006,SKU0023,53,23,51,1.01,2025-10-28
BR006,SKU0024,69,25,37,6.54,2025-09-14
BR006,SKU0025,58,23,68,13.11,2025-09-20
BR006,SKU0026,56,26,64,3.75,2025-10-12
BR006,SKU0027,63,28,24,10.49,2025-11-18
BR006,SKU0028,60,25,37,9.02,2025-11-09
BR006,SKU0029,62,15,37,7.61,2025-12-04
BR006,SKU0030,58,26,44,12.31,2025-11-28
BR006,SKU0031,60,16,36,14.52,2025-09-07
BR006,SKU0032,53,16,28,4.15,2025-11-17
BR006,SKU0033,58,12,32,8.73,2025-11-01
BR006,SKU0034,49,18,33,7.39,2025-10-31
BR006,SKU0035,55,23,27,9.1,2025-11-11
BR006,SKU0036,72,17,40,4.5,2025-10-29
BR006,SKU0037,62,19,67,10.44,2025-12-27
BR006,SKU0038,59,16,35,9.22,2025-10-26
BR006,SKU0039,51,21,25,4.95,2025-12-24
BR006,SKU0040,69,25,54,8.53,2025-12-02
BR006,SKU0041,69,17,36,3.82,2025-10-08
BR006,SKU0042,68,16,29,11.08,2025-09-03
BR006,SKU0043,62,18,31,7.25,2025-11-14
BR006,SKU0044,39,20,59,13.29,2025-12-11
BR006,SKU0045,69,21,62,10.97,2025-10-09
BR006,SKU0046,62,24,35,1.46,2025-11-23
BR006,SKU0047,57,10,37,14.84,2025-11-30
BR006,SKU0048,43,13,61,12.61,2025-09-14
BR006,SKU0049,57,17,30,11.13,2025-10-10
BR006,SKU0050,55,12,38,14.08,2025-10-16
BR006,SKU0051,62,19,43,8.69,2025-12-14
BR006,SKU0052,57,25,64,10.22,2025-09-14
BR006,SKU0053,65,23,46,6.72,2025-11-06
BR006,SKU0054,66,22,23,11.95,2025-11-27
BR006,SKU0055,66,23,54,4.5,2025-10-10
BR006,SKU0056,68,20,47,1.3,2025-12-10
BR006,SKU0057,71,23,66,1.52,2025-09-03
BR006,SKU0058,62,15,38,10.1,2025-10-03
BR006,SKU0059,58,14,68,3.21,2025-12-04
BR006,SKU0060,69,14,29,11.81,2025-12-05
BR006,SKU0061,57,27,54,12.6,2025-09-18
BR006,SKU0062,57,24,60,12.84,2025-11-11
BR006,SKU0063,64,18,61,10.41,2025-12-09
BR006,SKU0064,60,24,47,7.32,2025-10-17
BR006,SKU0065,63,14,23,12.47,2025-10-17
BR006,SKU0066,57,18,23,1.71,2025-10-13
BR006,SKU0067,57,22,22,9.29,2025-09-09
BR006,SKU0068,45,19,35,8.11,2025-10-17
BR006,SKU0069,69,24,64,10.03,2025-12-29
BR006,SKU0070,65,15,39,9.1,2025-10-31
BR006,SKU0071,59,20,63,9.14,2025-12-13
BR006,SKU0072,63,26,51,7.32,2025-09-22
BR006,SKU0073,58,10,43,14.94,2025-09-08
BR006,SKU0074,70,23,63,12.48,2025-10-11
BR006,SKU0075,53,25,30,3.08,2025-11-06
BR006,SKU0076,73,19,61,13.07,2025-12-29
BR006,SKU0077,58,15,59,6.47,2025-09-10
BR006,SKU0078,58,16,59,10.63,2025-11-30
BR006,SKU0079,62,19,43,7.37,2025-12-02
BR006,SKU0080,54,12,20,8.61,2025-10-04
BR007,SKU0001,56,12,67,13.35,2025-09-30
BR007,SKU0002,60,29,42,2.42,2025-10-28
BR007,SKU0003,54,26,31,11.27,2025-12-18
BR007,SKU0004,60,20,40,10.58,2025-11-18
BR007,SKU0005,49,27,69,13.24,2025-09-24
BR007,SKU0006,61,14,67,14.23,2025-12-27
BR007,SKU0007,41,18,27,9.01,2025-10-12
BR007,SKU0008,65,22,43,1.7,2025-11-30
BR007,SKU0009,72,18,40,13.69,2025-11-08
BR007,SKU0010,61,25,36,1.11,2025-12-24
BR007,SKU0011,55,20,54,9.94,2025-11-21
BR007,SKU0012,72,27,24,1.7,2025-09-09
BR007,SKU0013,67,20,32,5.52,2025-10-08
BR007,SKU0014,65,17,32,2.13,2025-10-26
BR007,SKU0015,54,16,21,4.42,2025-11-14
BR007,SKU0016,65,14,38,12.85,2025-10-03
BR007,SKU0017,41,11,28,12.6,2025-09-21
BR007,SKU0018,62,20,64,8.63,2025-11-12
BR007,SKU0019,62,10,68,8.42,2025-10-17
BR007,SKU0020,48,13,28,1.42,2025-10-11
BR007,SKU0021,54,21,66,6.2,2025-09-30
BR007,SKU0022,59,11,32,10.95,2025-12-28
BR007,SKU0023,59,17,39,10.49,2025-12-12
BR007,SKU0024,52,19,65,14.84,2025-10-10
BR007,SKU0025,70,16,68,6.49,2025-11-07
BR007,SKU0026,55,26,32,1.08,2025-12-12
BR007,SKU0027,64,13,53,4.06,2025-10-21
BR007,SKU0028,59,17,59,11.11,2025-09-27
BR007,SKU0029,67,26,34,11.65,2025-11-20
BR007,SKU0030,57,14,20,4.27,2025-10-20
BR007,SKU0031,50,13,54,14.25,2025-11-10
BR007,SKU0032,66,17,31,3.2,2025-10-20
BR007,SKU0033,54,17,34,7.41,2025-12-29
BR007,SKU0034,59,11,57,3.28,2025-10-24
BR007,SKU0035,71,22,31,10.51,2025-09-11
BR007,SKU0036,67,10,27,1.32,2025-09-12
BR007,SKU0037,60,24,23,3.71,2025-10-23
BR007,SKU0038,64,24,33,10.79,2025-09-21
BR007,SKU0039,62,14,61,6.43,2025-10-07
BR007,SKU0040,48,26,60,3.86,2025-11-20
BR007,SKU0041,58,21,55,14.47,2025-12-25
BR007,SKU0042,70,18,34,6.72,2025-10-28
BR007,SKU0043,63,22,48,14.22,2025-12-04
BR007,SKU0044,62,18,54,2.77,2025-11-07
BR007,SKU0045,64,13,34,14.74,2025-11-05
BR007,SKU0046,76,28,28,8.01,2025-11-05
BR007,SKU0047,49,19,61,4.17,2025-09-23
BR007,SKU0048,72,14,33,1.47,2025-10-06
BR007,SKU0049,74,15,53,12.03,2025-11-30
BR007,SKU0050,64,12,46,13.81,2025-12-21
BR007,SKU0051,54,22,20,13.68,2025-09-30
BR007,SKU0052,50,13,28,3.05,2025-10-03
BR007,SKU0053,70,26,65,9.8,2025-10-08
BR007,SKU0054,62,26,40,12.01,2025-11-19
BR007,SKU0055,54,13,24,4.04,2025-09-29
BR007,SKU0056,53,19,52,5.89,2025-09-17
BR007,SKU0057,52,12,22,13.92,2025-09-09
BR007,SKU0058,51,25,51,9.48,2025-12-24
BR007,SKU0059,57,17,23,11.8,2025-12-27
BR007,SKU0060,54,18,41,1.66,2025-10-27
BR007,SKU0061,53,15,30,8.6,2025-11-19
BR007,SKU0062,55,11,24,14.48,2025-11-18
BR007,SKU0063,52,15,25,13.07,2025-09-08
BR007,SKU0064,68,14,56,4.71,2025-09-08
BR007,SKU0065,64,14,68,5.38,2025-09-09
BR007,SKU0066,66,19,56,5.19,2025-11-25
BR007,SKU0067,72,13,48,6.15,2025-09-29
BR007,SKU0068,68,20,34,1.12,2025-10-18
BR007,SKU0069,66,26,62,5.43,2025-12-27
BR007,SKU0070,73,19,40,13.9,2025-12-04
BR007,SKU0071,62,21,65,13.88,2025-09-27
BR007,SKU0072,75,25,53,11.01,2025-09-08
BR007,SKU0073,52,27,27,13.57,2025-10-12
BR007,SKU0074,53,13,31,14.38,2025-11-05
BR007,SKU0075,57,14,58,2.22,2025-12-18
BR007,SKU0076,49,23,44,3.89,2025-09-30
BR007,SKU0077,50,21,50,8.87,2025-12-20
BR007,SKU0078,63,15,66,9.73,2025-12-09
BR007,SKU0079,66,12,68,1.84,2025-09-17
BR007,SKU0080,65,15,37,10.26,2025-10-19
BR008,SKU0001,67,15,35,8.28,2025-09-16
BR008,SKU0002,64,13,43,11.82,2025-10-30
BR008,SKU0003,63,16,60,7.95,2025-11-16
BR008,SKU0004,56,29,68,1.1,2025-12-11
BR008,SKU0005,55,29,35,14.39,2025-11-27
BR008,SKU0006,74,12,23,3.4,2025-10-22
BR008,SKU0007,58,10,20,10.42,2025-12-07
BR008,SKU0008,55,13,25,4.48,2025-11-22
BR008,SKU0009,62,18,49,4.63,2025-10-10
BR008,SKU0010,66,22,55,4.77,2025-10-18
BR008,SKU0011,54,14,46,10.11,2025-11-24
BR008,SKU0012,63,12,39,12.22,2025-09-05
BR008,SKU0013,62,11,54,11.4,2025-09-29
BR008,SKU0014,68,15,56,12.37,2025-09-08
BR008,SKU0015,76,16,47,9.35,2025-11-26
BR008,SKU0016,75,21,37,6.83,2025-12-17
BR008,SKU0017,56,29,40,2.94,2025-12-25
BR008,SKU0018,62,24,25,4.7,2025-09-26
BR008,SKU0019,56,20,58,9.06,2025-11-16
BR008,SKU0020,65,16,58,1.82,2025-12-11
BR008,SKU0021,63,18,33,11.93,2025-11-25
BR008,SKU0022,62,24,35,5.27,2025-12-15
BR008,SKU0023,63,29,30,10.55,2025-11-11
BR008,SKU0024,67,10,23,2.0,2025-11-14
BR008,SKU0025,52,10,37,3.11,2025-11-12
BR008,SKU0026,62,21,59,9.65,2025-12-02
BR008,SKU0027,51,27,25,7.21,2025-10-25
BR008,SKU0028,78,29,24,9.2,2025-11-23
BR008,SKU0029,60,25,33,11.99,2025-09-15
BR008,SKU0030,65,26,23,6.42,2025-11-23
BR008,SKU0031,71,17,37,2.61,2025-10-31
BR008,SKU0032,54,19,52,2.39,2025-09-06
BR008,SKU0033,63,22,37,3.95,2025-10-29
BR008,SKU0034,59,12,53,7.48,2025-09-26
BR008,SKU0035,60,13,61,12.98,2025-10-31
BR008,SKU0036,62,14,33,14.13,2025-11-27
BR008,SKU0037,58,24,48,3.16,2025-10-18
BR008,SKU0038,51,12,55,14.33,2025-10-22
BR008,SKU0039,67,12,68,11.89,2025-09-27
BR008,SKU0040,72,23,61,11.88,2025-09-06
BR008,SKU0041,53,19,55,3.94,2025-10-04
BR008,SKU0042,63,26,31,8.42,2025-09-04
BR008,SKU0043,62,21,26,8.96,2025-09-14
BR008,SKU0044,68,28,25,5.3,2025-12-15
BR008,SKU0045,66,20,28,5.04,2025-09-29
BR008,SKU0046,57,19,33,8.48,2025-09-25
BR008,SKU0047,59,29,64,9.05,2025-09-06
BR008,SKU0048,60,27,59,7.51,2025-09-26
BR008,SKU0049,58,22,20,5.36,2025-12-22
BR008,SKU0050,64,18,36,11.3,2025-11-30
BR008,SKU0051,50,23,68,11.4,2025-09-22
BR008,SKU0052,63,26,42,8.88,2025-12-23
BR008,SKU0053,55,12,64,13.89,2025-11-27
BR008,SKU0054,60,19,21,8.94,2025-09-06
BR008,SKU0055,66,22,23,6.92,2025-10-30
BR008,SKU0056,57,28,46,12.87,2025-10-20
BR008,SKU0057,61,23,24,1.14,2025-10-20
BR008,SKU0058,69,21,28,2.21,2025-12-04
BR008,SKU0059,54,10,26,4.95,2025-12-25
BR008,SKU0060,61,25,47,14.37,2025-09-13
BR008,SKU0061,58,29,21,7.21,2025-12-04
BR008,SKU0062,66,11,24,6.77,2025-11-22
BR008,SKU0063,63,18,44,12.3,2025-10-16
BR008,SKU0064,54,16,26,8.1,2025-09-04
BR008,SKU0065,54,12,23,10.72,2025-11-22
BR008,SKU0066,54,27,63,5.66,2025-09-15
BR008,SKU0067,58,12,37,5.11,2025-09-14
BR008,SKU0068,52,13,56,14.93,2025-09-09
BR008,SKU0069,73,24,22,9.84,2025-12-07
BR008,SKU0070,53,22,67,10.24,2025-11-08
BR008,SKU0071,66,11,55,13.08,2025-11-11
BR008,SKU0072,76,23,57,9.3,2025-11-20
